"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=396",3.80934863127778,3.80497476778725,3.7593241168266,3.73051512612899,3.88621083867314,4.84152407507218,4.03785690780427,3.81278179867336
"t_cond=397",3.71737227639089,3.63983888834769,3.62864938117879,3.64923077486232,4.41125954606754,3.64786088025394,3.4929916204456,3.81717879164772
"t_cond=398",3.59080425422345,3.57935398405109,3.70567982676346,4.65849187737201,3.76202484870879,3.68065053089376,4.02978792696702,4.72312479788597
"t_cond=399",3.51509312626354,3.76494907002253,4.76217481233321,3.76656875330705,3.62913902490876,4.07865911091659,4.68142871114753,3.7804737084234
"t_cond=400",3.74296160475673,4.83968064329457,3.80289726079288,3.6238173390258,4.05070480955061,4.76756114229016,3.71529316982026,4.38041227870471
"t_cond=401",4.20464546264041,3.29138276507515,3.19661207754332,3.51343846340317,4.16150055404328,3.214171167127,3.74342226780357,3.56208758901409
"t_cond=402",2.7220198313775,2.64617099690784,2.81765826819847,3.30718189130748,2.59610927362504,2.89997126364044,2.75600806407593,3.18581573997055
"t_cond=403",2.46165861118055,2.5699887433081,2.97783154604815,2.38865525715649,2.61698439317686,2.52299806757448,2.93637302263666,2.19055586755604
"t_cond=404",2.42371925470687,2.84259949976276,2.21443127732225,2.46792088836192,2.3484275486914,2.72064032425493,2.1200808210953,2.09602277891057
"t_cond=405",2.46384234750679,2.02542374124861,2.1875973904826,2.0430251259819,2.34982731793596,1.88975141915371,1.83341848120515,1.78093601817814
"t_cond=406",1.81146330285871,1.70713448018603,1.62007503548648,1.77739767998873,1.76666536895032,1.5280586870278,1.52076049623244,1.38387005462074
"t_cond=407",1.70151264978627,1.61060297907483,1.80030993413667,1.70716827996738,1.53251248434672,1.50203327877138,1.39578939095372,1.3117661458902
"t_cond=408",1.36790526156927,1.49955074932164,1.66946676265214,1.35468673663249,1.3794162059615,1.11109842585735,1.09316811054153,1.43152014664608
"t_cond=409",1.3084469801918,1.66827999994391,1.26735558521563,1.29788222114936,0.954154860118817,0.957428812185485,1.39635610045731,0.836427398189182
"t_cond=410",1.90069059239622,1.19828714623228,1.26505196113472,0.667142195392017,0.635097385892595,1.41443954640133,0.61567823089778,2.95255441990043
"t_cond=411",1.16452512158896,1.20322349233079,0.998801987513095,0.925859015344094,1.30900472236573,0.843481576689499,2.61986655861492,2.6398005344823
