"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=477",5.55452304146721,5.90638528678738,5.67908782640572,5.73718918550105,5.82344189325529,5.91999072675755,6.01607681620557,6.1596872563923
"t_cond=478",5.92203792562034,5.60837957105966,5.65218099255509,5.73034301340947,5.82406373090143,5.89958238462997,6.03755028278628,6.35295183424506
"t_cond=479",5.59067090484055,5.67877620873026,5.72353330914462,5.87279002387492,5.9087131631635,6.01386527439312,6.6267809208066,8.95223386505895
"t_cond=480",5.58260705854754,5.6666942936988,5.83195810698696,5.90926261423797,6.00822811977113,6.57411150102042,8.76277759136469,6.40718956122594
"t_cond=481",5.68742479156753,5.81033348890568,6.04305831181335,6.39419879398545,6.05103731811367,6.77104410073608,6.48352999226861,6.40478357132314
"t_cond=482",5.65384731992921,5.72649358912817,5.87948926609814,6.41280153999908,8.85313683189396,6.28687410662574,6.59326253692319,6.51211820287834
"t_cond=483",5.6152356594071,5.84593026979785,6.22984915189795,8.84463188397156,6.16601127983897,6.47635916781795,6.42634969059385,7.03096478361225
"t_cond=484",5.77336673915228,6.22857107242959,9.13416674498886,6.09577459281208,6.44766049771773,6.36777684439778,7.05238849040799,9.37523815128668
"t_cond=485",6.31282329892583,9.66707837389229,6.00457179696968,6.44835038413373,6.25277127201541,6.94916371891681,9.99258502766054,10.095857582631
"t_cond=486",9.11438619071885,5.92436635181122,6.11610762380054,6.22793292373551,7.41713023797322,10.5819360815268,10.5629363129307,8.6333205875114
"t_cond=487",6.13823300825696,5.89529562296285,6.51736756736183,9.3683026812875,16.0200327112972,14.5015644126237,10.6235575910047,9.56713080662319
"t_cond=488",5.83163223281755,6.33639745212119,8.77968312370099,14.0302584151038,13.5401857548582,10.3554861715531,8.93745735195468,9.48056922706066
"t_cond=489",6.31321922707448,7.85470336654693,10.5782341828782,10.0315125722166,8.4885146722172,8.09675983561497,8.2540834552012,8.35872355330781
"t_cond=490",7.36505887602787,10.3205716161881,9.83096504642572,8.06356732305994,7.74146376341926,8.03465916687761,8.18622031934249,7.99106638959314
"t_cond=491",13.8393876886161,12.7998878789817,8.81604803261734,7.69412713344613,8.06682688282744,8.42215420987664,7.87746065719695,7.49893845754292
"t_cond=492",6.82987409567789,7.2079064328141,7.39670562306346,7.46439949015596,7.55479201253595,7.61318470351318,7.60281835945533,7.60400288496565
"t_cond=493",7.22661137922526,7.49748945157376,7.43406396841766,7.50204606635726,7.55609619950575,7.59384172771845,7.60663639646322,7.60316332048811
"t_cond=494",6.9012630792533,6.93984201210483,7.0140821920655,7.1604182346111,7.34686286772739,7.92363170018789,8.55783027547117,7.70699606912436
"t_cond=495",6.8302887883367,7.21888668167097,7.31871839116996,7.43836059873655,7.3403749857827,7.34793827991376,7.56167571295133,7.59805420462247
"t_cond=496",6.72568551608689,6.81918684568572,6.97761118866385,7.38768893149371,7.79229348897462,7.21146567842753,7.22945286060751,7.1399195563131
"t_cond=497",6.82327257349128,6.95134591182335,7.40405360155831,8.068577200772,7.21846838752668,7.24088854477917,7.090370696145,6.99924962932429
"t_cond=498",6.86315803972984,7.31274025141733,7.93738752702091,7.09436588550174,7.06518952536791,6.99497794509214,6.92330170896229,7.00911862681498
"t_cond=499",7.14606066581168,7.71379504360836,6.94794297414021,6.91684649357206,6.87946070213708,6.88484210312849,6.89487288238966,6.96171355706422
"t_cond=500",6.63390445381509,7.09555227435303,7.28147695188899,7.57112833393998,7.81803531573439,7.57289071104628,7.42925312435638,7.31683747383106
"t_cond=501",7.13023592546907,7.32097899582221,7.56803070195578,7.91604846408343,7.68988086216603,7.50269207225081,7.40155030746412,6.91465006817169
"t_cond=502",6.66519578137902,7.07775218377759,7.48159536104798,7.29466775775878,7.20246009356661,7.16966406824759,6.95183953989972,6.86738962513974
"t_cond=503",6.63703940315521,6.97472239260691,6.71159134135844,6.63283550238444,6.62716425290496,6.99318735776474,7.61224560636617,6.6819304407573
"t_cond=504",6.95764653033912,6.64475543643969,6.54520817363724,6.5443116425079,7.11090963340772,7.75741086422237,6.57461421178246,6.61492752523491
"t_cond=505",6.5552110512523,6.5490714788318,6.61722085403194,7.59398452726545,8.46917779386489,6.6544111462043,6.56803677001655,6.56052361542245
"t_cond=506",6.52697755354144,6.76335186724979,6.95097960188216,7.13232593116878,6.86311449487866,7.07993339665151,6.94997812816828,6.55530776719866
"t_cond=507",6.55295490859556,7.62094230025065,8.70613873393138,6.55066064848762,6.46781647517726,6.47146367180476,6.83619750798852,6.44375838386832
"t_cond=508",7.37988663341277,8.43190250448593,6.4519632409646,6.47824333318405,6.43473923167087,6.64358420919496,6.46772130063408,6.42297261082925
"t_cond=509",7.9012517412907,6.2962074387313,6.56474030732201,6.42399052642572,6.2869863368325,6.47471316261021,6.35161770480189,6.25119150214166
"t_cond=510",7.63075584482932,8.04740565504282,7.46195305972647,6.5765820743765,7.42296843772406,6.95327104717298,6.34447492738016,6.20910075352061
"t_cond=511",6.8960874951359,6.71472175064439,6.12490732072145,6.87152630125592,6.43706838334467,6.15231004208216,6.15851054285755,6.25141072443247
"t_cond=512",6.27959366391995,6.40612579083247,6.70001245057556,6.59505669236348,6.25148852663542,6.18713458386052,6.16630735717913,5.94735355933308
"t_cond=513",6.29368531684039,6.6155526960152,6.54491654291383,6.24667305155682,6.15687971850116,6.15101842539337,5.97290118318032,5.93796621617818
"t_cond=514",6.9932988125643,6.66916075154153,6.23822132427691,6.16198852582639,6.1843963031067,5.93348914436122,5.93553241598551,9.57887203931033
"t_cond=515",6.12238067774729,6.14488559916196,6.1146559861282,6.12017195896595,5.95712926484493,5.92853060516809,9.54530437401818,NA
"t_cond=516",6.00995671409701,6.06752294354407,6.09324127681183,5.95778054034135,5.93125482910168,9.63647606175711,NA,NA
"t_cond=517",5.91938298878619,6.08632188037833,5.94997594957434,5.92939420389204,9.57832349660337,NA,NA,NA
"t_cond=518",5.94448208361212,5.92231367976913,5.92148480149146,9.62079505380906,NA,NA,NA,NA
"t_cond=519",5.87226887617545,5.90495164841956,9.72011527096,NA,NA,NA,NA,NA
"t_cond=520",5.8014382020967,9.60350108014119,NA,NA,NA,NA,NA,NA
"t_cond=521",10.3893301311619,NA,NA,NA,NA,NA,NA,NA
