"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"7232","noroBE",8,4,"naive",354,8.50741702545075,27.6590947526991,5,11,1,21,5,2.46766276827119,2.76789030069067
"7233","noroBE",9,1,"naive",354,4.45031365879584,9.69105376877747,2,6,0,12,3,1.92899861976257,2.51437663201252
"7234","noroBE",9,2,"naive",354,5.30207274239155,12.7408703822437,3,7,0,14,6,2.33544206733483,2.52159143924302
"7235","noroBE",9,3,"naive",354,5.53759838316759,13.6519587513952,3,8,0,14,3,2.11448227494207,2.69170388800924
"7236","noroBE",9,4,"naive",354,6.25785615621595,16.6203081927103,3,8,1,16,2,2.43566125627601,2.76789030069067
"7237","noroBE",10,1,"naive",354,9.60151884716291,33.9959816320394,5,13,1,24,6,2.56291925046076,2.51437663201252
"7238","noroBE",10,2,"naive",354,11.439182778608,46.0651074345504,6,15,2,28,3,3.26446294743074,2.52159143924302
"7239","noroBE",10,3,"naive",354,11.9473276089014,49.7178443435116,7,16,2,29,1,4.33380507555222,2.69170388800924
"7240","noroBE",10,4,"naive",354,13.5012784341586,61.7361546652595,8,18,2,32,6,3.01888618569346,2.76789030069067
"7241","noroBE",11,1,"naive",354,7.5242562789528,22.5051781731787,4,10,1,19,14,3.67637687732548,2.51437663201252
"7242","noroBE",11,2,"naive",354,8.96434660162776,30.2285276315792,5,12,1,22,12,3.02796534627671,2.52159143924302
"7243","noroBE",11,3,"naive",354,9.36255567571424,32.5578670910796,5,12,1,23,12,2.99192914452424,2.69170388800924
"7244","noroBE",11,4,"naive",354,10.5803134534413,40.2019091314474,6,14,2,26,10,2.74567522385949,2.76789030069067
"7245","noroBE",12,1,"naive",354,5.2466351749101,12.5306884600981,3,7,0,14,11,3.67900082384875,2.51437663201252
"7246","noroBE",12,2,"naive",354,6.25080465849468,16.5899165490485,3,8,0,16,3,2.25107969257315,2.52159143924302
"7247","noroBE",12,3,"naive",354,6.52847432545095,17.8065442272219,3,9,1,17,7,2.4481316853997,2.69170388800924
"7248","noroBE",12,4,"naive",354,7.37761217433247,21.7802826397631,4,10,1,19,10,2.87377101304834,2.76789030069067
"7249","noroBE",1,1,"naive",355,5.98337823771555,15.4252178738099,3,8,0,15,2,2.36597233990281,2.5213185153354
"7250","noroBE",1,2,"naive",355,6.24868633751923,16.5464081436225,3,8,1,16,8,2.63191126322382,2.69108655252429
"7251","noroBE",1,3,"naive",355,7.06221314349151,20.2158348174462,4,10,1,18,8,2.57150556292168,2.76656316207896
"7252","noroBE",1,4,"naive",355,8.51267918685127,27.6242435866074,5,11,1,21,11,2.91878854067629,3.15933863135274
"7253","noroBE",2,1,"naive",355,4.27824299643669,9.1054353070638,2,6,0,12,3,1.90343709526503,2.5213185153354
"7254","noroBE",2,2,"naive",355,4.46794394375912,9.73271070905882,2,6,0,12,2,1.97444644286149,2.69108655252429
"7255","noroBE",2,3,"naive",355,5.04963295317619,11.774494193001,3,7,0,13,3,2.02614068383465,2.76656316207896
"7256","noroBE",2,4,"naive",355,6.0867470958954,15.8576392387659,3,8,0,16,4,2.17389978874893,3.15933863135274
"7257","noroBE",3,1,"naive",355,6.44794388122657,17.412882449707,3,9,1,16,8,2.61251245446102,2.5213185153354
"7258","noroBE",3,2,"naive",355,6.73385121832016,18.692737553095,4,9,1,17,5,2.26718978029091,2.69108655252429
"7259","noroBE",3,3,"naive",355,7.61054244230427,22.8860246752992,4,10,1,19,16,4.12906740325613,2.76656316207896
"7260","noroBE",3,4,"naive",355,9.17362658601692,31.3681498640641,5,12,1,23,12,3.00699093861852,3.15933863135274
"7261","noroBE",4,1,"naive",355,5.4176638750373,13.1584990221092,3,7,0,14,6,2.32867045907515,2.5213185153354
"7262","noroBE",4,2,"naive",355,5.65788771698014,14.1004126870851,3,8,0,15,7,2.49779005048408,2.69108655252429
"7263","noroBE",4,3,"naive",355,6.39449747370734,17.1784146857512,3,9,1,16,8,2.6173914397591,2.76656316207896
"7264","noroBE",4,4,"naive",355,7.70782535853762,23.3763258968879,4,10,1,19,15,3.85474192517614,3.15933863135274
"7265","noroBE",5,1,"naive",355,5.69417471829825,14.2453396382418,3,8,0,15,5,2.19135352510669,2.5213185153354
"7266","noroBE",5,2,"naive",355,5.94665928712247,15.2729686566505,3,8,0,15,8,2.66809145145832,2.69108655252429
"7267","noroBE",5,3,"naive",355,6.72086469202663,18.6336690356363,4,9,1,17,1,2.98115571785858,2.76656316207896
"7268","noroBE",5,4,"naive",355,8.10122320284051,25.4099411390878,4,11,1,20,4,2.47634346204116,3.15933863135274
"7269","noroBE",6,1,"naive",355,5.84388339070223,14.850606004583,3,8,0,15,5,2.19926369911386,2.5213185153354
"7270","noroBE",6,2,"naive",355,6.1030061698855,15.926168544718,3,8,0,16,10,3.09834047121243,2.69108655252429
"7271","noroBE",6,3,"naive",355,6.89756663396333,19.4450178035795,4,9,1,17,5,2.28277687133649,2.76656316207896
"7272","noroBE",6,4,"naive",355,8.3142169079069,26.5450454222881,5,11,1,21,14,3.47941130479864,3.15933863135274
"7273","noroBE",7,1,"naive",355,10.5002948854111,39.578439788939,6,14,2,26,2,3.44119550660635,2.5213185153354
"7274","noroBE",7,2,"naive",355,10.965886926019,42.6799022445375,6,15,2,27,6,2.71506887656659,2.69108655252429
"7275","noroBE",7,3,"naive",355,12.3935538761126,52.902917705941,7,16,2,30,14,3.05729654644955,2.76656316207896
"7276","noroBE",7,4,"naive",355,14.9389923510782,73.797102673644,9,20,3,36,19,3.40694250428428,3.15933863135274
"7277","noroBE",8,1,"naive",355,7.20514062467765,20.8965648708717,4,10,1,18,4,2.33485735783226,2.5213185153354
"7278","noroBE",8,2,"naive",355,7.52462271188753,22.4571447044942,4,10,1,19,8,2.55608356243819,2.69108655252429
"7279","noroBE",8,3,"naive",355,8.50426578409502,27.5780714886095,5,11,1,21,5,2.46689295398104,2.76656316207896
"7280","noroBE",8,4,"naive",355,10.2509064607368,37.9642066533419,6,14,1,25,3,3.0442294505098,3.15933863135274
"7281","noroBE",9,1,"naive",355,5.29464756945087,12.687938892194,3,7,0,14,6,2.33480376886702,2.5213185153354
"7282","noroBE",9,2,"naive",355,5.52941676336991,13.5928938194767,3,8,0,14,3,2.11274658963652,2.69108655252429
"7283","noroBE",9,3,"naive",355,6.24930067423041,16.5490474113951,3,8,1,16,2,2.43445719680501,2.76656316207896
"7284","noroBE",9,4,"naive",355,7.53280745015803,22.4978321367256,4,10,1,19,11,3.03646222580349,3.15933863135274
"7285","noroBE",10,1,"naive",355,11.4233450679127,45.8385449734377,6,15,2,28,3,3.26396923029698,2.5213185153354
"7286","noroBE",10,2,"naive",355,11.9298659417338,49.4647286578652,7,16,2,29,1,4.33581085478139,2.69108655252429
"7287","noroBE",10,3,"naive",355,13.4830349137435,61.4275602221666,8,18,2,32,6,3.01728474395104,2.76656316207896
"7288","noroBE",10,4,"naive",355,16.2522354329664,85.9132691589105,9,21,3,38,5,3.52469620456128,3.15933863135274
"7289","noroBE",11,1,"naive",355,8.98569872400507,30.2801969738777,5,12,1,22,12,3.02480167696979,2.5213185153354
"7290","noroBE",11,2,"naive",355,9.38413227761981,32.6089303497516,5,13,1,23,12,2.98907635529893,2.69108655252429
"7291","noroBE",11,3,"naive",355,10.6058679747366,40.2716729990824,6,14,2,26,10,2.74478654875624,2.76656316207896
"7292","noroBE",11,4,"naive",355,12.784144252321,55.887097738966,7,17,2,31,14,3.04714697230075,3.15933863135274
"7293","noroBE",12,1,"naive",355,6.27035374399876,16.6396143524988,3,8,1,16,3,2.25498507052786,2.5213185153354
"7294","noroBE",12,2,"naive",355,6.5483865827772,17.8575980496951,3,9,1,17,7,2.44648293203884,2.69108655252429
"7295","noroBE",12,3,"naive",355,7.40093185920941,21.8465628315302,4,10,1,19,10,2.87000227603806,2.76656316207896
"7296","noroBE",12,4,"naive",355,8.92096532929743,29.9097556005944,5,12,1,22,17,3.94241025871364,3.15933863135274
"7297","noroBE",1,1,"naive",356,6.24087385331431,16.5090336314246,3,8,1,16,8,2.63262658893394,2.69046104159209
"7298","noroBE",1,2,"naive",356,7.05290939293716,20.1670072050396,4,10,1,18,8,2.57181112563683,2.76613348468162
"7299","noroBE",1,3,"naive",356,8.50203920508483,27.5587531919198,5,11,1,21,11,2.91962918869255,3.15867168104743
"7300","noroBE",1,4,"naive",356,8.71210028951588,28.7221211632439,5,12,1,22,10,2.76659865984543,3.12427441675608
"7301","noroBE",2,1,"naive",356,4.46652551198092,9.72598903283218,2,6,0,12,2,1.97409709946279,2.69046104159209
"7302","noroBE",2,2,"naive",356,5.04769051220512,11.7648745590161,3,7,0,13,3,2.02575973880152,2.76613348468162
"7303","noroBE",2,3,"naive",356,6.08481695126819,15.8458738696385,3,8,0,16,4,2.17358074135043,3.15867168104743
"7304","noroBE",2,4,"naive",356,6.23515538379193,16.4845064954878,3,8,0,16,1,2.82976500997664,3.12427441675608
"7305","noroBE",3,1,"naive",356,6.7464170790038,18.7455035445907,4,9,1,17,5,2.26826702020423,2.69046104159209
"7306","noroBE",3,2,"naive",356,7.62423171875338,22.9490023656844,4,10,1,19,16,4.12416164362282,2.76613348468162
"7307","noroBE",3,3,"naive",356,9.19074857907651,31.4598955167253,5,12,1,23,12,3.00533499678314,3.15867168104743
"7308","noroBE",3,4,"naive",356,9.41782570336209,32.8009806045852,5,13,1,23,18,4.01235200288762,3.12427441675608
"7309","noroBE",4,1,"naive",356,5.66647738535185,14.1315001243337,3,8,0,15,7,2.49686090399983,2.69046104159209
"7310","noroBE",4,2,"naive",356,6.40377493847115,17.2149756384577,3,9,1,16,8,2.61640985611846,2.76613348468162
"7311","noroBE",4,3,"naive",356,7.71952999168588,23.4297955811175,4,10,1,19,15,3.85114293048546,3.15867168104743
"7312","noroBE",4,4,"naive",356,7.91025751037125,24.4064248240808,4,11,1,20,17,4.26424261109313,3.12427441675608
"7313","noroBE",5,1,"naive",356,5.94889314347315,15.2787320564235,3,8,0,15,8,2.66768517807204,2.69046104159209
"7314","noroBE",5,2,"naive",356,6.72293741474992,18.6386479918703,4,9,1,17,1,2.98209160867411,2.76613348468162
"7315","noroBE",5,3,"naive",356,8.10426935737678,25.4195503375545,4,11,1,20,4,2.47684370473077,3.15867168104743
"7316","noroBE",5,4,"naive",356,8.30450268595444,26.4859758448202,5,11,1,21,10,2.78868344741317,3.12427441675608
"7317","noroBE",6,1,"naive",356,6.10531351271155,15.9322409631987,3,8,0,16,10,3.0977207665214,2.69046104159209
"7318","noroBE",6,2,"naive",356,6.89971052655739,19.4502834201398,4,9,1,17,5,2.28289891067964,2.76613348468162
"7319","noroBE",6,3,"naive",356,8.31736325143658,26.5551926035405,5,11,1,21,14,3.47870281642568,3.15867168104743
"7320","noroBE",6,4,"naive",356,8.52286152097629,27.6730332808715,5,11,1,21,14,3.43639852509139,3.12427441675608
"7321","noroBE",7,1,"naive",356,10.9437173102125,42.517858135761,6,15,2,27,6,2.71247300727348,2.69046104159209
"7322","noroBE",7,2,"naive",356,12.3676665199468,52.6929419409673,7,16,2,30,14,3.0579427777048,2.76613348468162
"7323","noroBE",7,3,"naive",356,14.9087957564436,73.5073551960069,9,20,3,35,19,3.40847972138802,3.15867168104743
"7324","noroBE",7,4,"naive",356,15.277149480605,76.8070857731944,9,20,3,36,22,3.67951296692181,3.12427441675608
"7325","noroBE",8,1,"naive",356,7.51915738345103,22.4244380981834,4,10,1,19,8,2.55606749522161,2.69046104159209
"7326","noroBE",8,2,"naive",356,8.49751765268436,27.533967555475,5,11,1,21,5,2.46599425134105,2.76613348468162
"7327","noroBE",8,3,"naive",356,10.243464675921,37.906227781699,6,14,1,25,3,3.0430165662788,3.15867168104743
"7328","noroBE",8,4,"naive",356,10.4965514056161,39.5431366434494,6,14,2,26,8,2.64276948289361,3.12427441675608
"7329","noroBE",9,1,"naive",356,5.53649567067484,13.6176190722455,3,8,0,14,3,2.11404065306056,2.69046104159209
"7330","noroBE",9,2,"naive",356,6.25688056471792,16.5777798309905,3,8,1,16,2,2.43651435864819,2.76613348468162
"7331","noroBE",9,3,"naive",356,7.5424538866239,22.540239340289,4,10,1,19,11,3.03488789895986,3.15867168104743
"7332","noroBE",9,4,"naive",356,7.72880636095121,23.4768519156495,4,10,1,19,8,2.55262444182526,3.12427441675608
"7333","noroBE",10,1,"naive",356,11.9079554374378,49.29113276471,7,16,2,29,1,4.33161996083038,2.69046104159209
"7334","noroBE",10,2,"naive",356,13.4573671459134,61.2017200378631,8,18,2,32,6,3.01422614270472,2.76613348468162
"7335","noroBE",10,3,"naive",356,16.2223923061244,85.601963099682,9,21,3,38,5,3.52104389284712,3.15867168104743
"7336","noroBE",10,4,"naive",356,16.62320124592,89.473466026535,10,22,3,39,9,3.10775052645227,3.12427441675608
