"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"3205","noroBE",1,2,"ar1",272,4.84033989954002,9.45792604557866,3,7,0,12,3,1.94825081607221,0.237730171417131,0.380253324304001,2.66482131717304
"3206","noroBE",2,2,"ar1",272,3.32310260286978,5.51285912362632,2,5,0,9,5,2.30529188481543,0.736327060688558,0.836056747512209,2.66482131717304
"3207","noroBE",3,2,"ar1",272,4.66297959947495,9.1272189343059,2,6,0,12,7,2.60940495524386,0.76516487897189,0.838743192100683,2.66482131717304
"3208","noroBE",4,2,"ar1",272,3.66636514620768,6.53016580184782,2,5,0,10,7,2.99309299114813,0.869119516401563,0.919251654820454,2.66482131717304
"3209","noroBE",5,2,"ar1",272,4.75415452062178,9.34554110484855,3,6,0,12,6,2.31198908013311,0.655713385319061,0.754777394525696,2.66482131717304
"3210","noroBE",6,2,"ar1",272,5.47857253235414,12.4367344658206,3,7,0,14,4,2.04835829703621,0.325246709104046,0.454193130742011,2.66482131717304
"3211","noroBE",7,2,"ar1",272,9.72966698102869,33.2022838413208,6,13,2,24,4,2.74326061812088,0.104898355784739,0.169258506306034,2.66482131717304
"3212","noroBE",8,2,"ar1",272,6.69028447870946,17.7184480271356,4,9,1,17,10,2.98354781376837,0.785393870558107,0.83600682019424,2.66482131717304
"3213","noroBE",9,2,"ar1",272,6.01528814285495,15.2023753388779,3,8,1,16,7,2.45259070648341,0.622154911275334,0.708225225761689,2.66482131717304
"3214","noroBE",10,2,"ar1",272,14.1302316968419,72.3599098420564,8,18,3,35,10,2.85329778837686,0.333736381179539,0.391390257920152,2.66482131717304
"3215","noroBE",11,2,"ar1",272,8.34551086672824,24.2943463476524,5,11,1,20,5,2.4019503426496,0.225756550388238,0.31629774501028,2.66482131717304
"3216","noroBE",12,2,"ar1",272,6.0508718494532,14.9379771420436,3,8,1,15,14,4.3164759349753,0.952532861002399,0.965879696882221,2.66482131717304
"3217","noroBE",1,3,"ar1",272,4.30071043190661,8.19482554883877,2,6,0,11,5,2.13446041815378,0.595006152412979,0.713314562640463,2.40705909242782
"3218","noroBE",2,3,"ar1",272,2.89988570408539,4.58427480815486,1,4,0,8,1,1.67665430813248,0.100508850689206,0.28750742089175,2.40705909242782
"3219","noroBE",3,3,"ar1",272,4.22049375533364,8.11545337665122,2,6,0,11,2,1.90010811728595,0.156876775121958,0.306429224265567,2.40705909242782
"3220","noroBE",4,3,"ar1",272,3.40148061417089,5.99196168119836,2,5,0,9,6,2.70004071432972,0.824328410811363,0.891531187379409,2.40705909242782
"3221","noroBE",5,3,"ar1",272,4.3081486306017,8.35833847756521,2,6,0,11,1,2.24767565636114,0.0453770579450259,0.151021551458282,2.40705909242782
"3222","noroBE",6,3,"ar1",272,4.6720104037808,10.2893182428169,2,6,0,12,2,2.00807525878526,0.137692878337558,0.271939694879264,2.40705909242782
"3223","noroBE",7,3,"ar1",272,8.83230153672032,30.0102720704805,5,12,1,22,2,3.11881818567173,0.0315599603790156,0.0757693452220241,2.40705909242782
"3224","noroBE",8,3,"ar1",272,6.15766195903387,16.594746780129,3,8,1,16,4,2.14471712934122,0.282292345050186,0.399393501891162,2.40705909242782
"3225","noroBE",9,3,"ar1",272,4.76059228036299,11.3783993502316,2,6,0,13,10,3.62131397573453,0.909744976941609,0.936492484757684,2.40705909242782
"3226","noroBE",10,3,"ar1",272,11.5342668752943,57.7302162738241,6,15,2,31,5,2.77974508838345,0.142743441767818,0.204797765497181,2.40705909242782
"3227","noroBE",11,3,"ar1",272,7.13856830263018,19.795038012017,4,9,1,18,2,2.70825727795074,0.0516733114725193,0.118326174445212,2.40705909242782
"3228","noroBE",12,3,"ar1",272,5.18885198388875,12.248277576107,3,7,0,14,4,2.02631846777544,0.361785182558938,0.493605110793794,2.40705909242782
"3229","noroBE",1,4,"ar1",272,3.71903973896646,6.68598851786576,2,5,0,10,2,1.768695891239,0.197249244050535,0.36780451052457,2.28345494805361
"3230","noroBE",2,4,"ar1",272,2.49345905455251,3.77466862860342,1,4,0,7,4,2.18737725480654,0.742552178893491,0.854762841888103,2.28345494805361
"3231","noroBE",3,4,"ar1",272,3.7185876997586,6.76685127503938,2,5,0,10,7,2.97059938702728,0.862746579784104,0.91401914879125,2.28345494805361
"3232","noroBE",4,4,"ar1",272,3.02528470113853,5.12021893022684,1,4,0,8,6,2.89562569592455,0.867070240986209,0.922334676528667,2.28345494805361
"3233","noroBE",5,4,"ar1",272,3.73768714622311,6.8613285902839,2,5,0,10,1,2.00674279400133,0.0632607004226969,0.197686515347837,2.28345494805361
"3234","noroBE",6,4,"ar1",272,3.97914228183183,8.19199855044146,2,5,0,11,2,1.82657844801743,0.187533658909691,0.348497030099818,2.28345494805361
"3235","noroBE",7,4,"ar1",272,7.62688306841101,24.146148005364,4,10,1,20,2,2.78622734355847,0.0480335668799466,0.10968693958559,2.28345494805361
"3236","noroBE",8,4,"ar1",272,5.34582245471461,13.9035493549924,3,7,0,15,5,2.17615888988132,0.485330295284937,0.598806865875853,2.28345494805361
"3237","noroBE",9,4,"ar1",272,3.94509552550313,8.57652767227407,2,5,0,11,2,1.8165688316093,0.199135935476491,0.361718578895047,2.28345494805361
"3238","noroBE",10,4,"ar1",272,9.63687366183344,44.9015893072355,5,13,1,27,6,2.53040212640243,0.293303582435446,0.372930576165889,2.28345494805361
"3239","noroBE",11,4,"ar1",272,6.03056283620544,15.5322313118409,3,8,1,16,7,2.45700544360314,0.62213509959071,0.707826273782944,2.28345494805361
"3240","noroBE",12,4,"ar1",272,4.45136879575644,9.67513822922662,2,6,0,12,4,1.98564525767525,0.446085007958621,0.583377004773458,2.28345494805361
"3241","noroBE",1,1,"ar1",273,5.07849736930654,9.5136627900764,3,7,0,12,3,1.99582042535189,0.20833294041845,0.344235051297944,2.59475131786098
"3242","noroBE",2,1,"ar1",273,2.66685340647311,3.88988491684598,1,4,0,7,5,2.57175435044878,0.83548166020682,0.91188305317189,2.59475131786098
"3243","noroBE",3,1,"ar1",273,3.90077100742998,6.51738868456205,2,5,0,10,7,2.8518070913233,0.851169353770106,0.908909239065325,2.59475131786098
"3244","noroBE",4,1,"ar1",273,3.63951358688825,5.91736845028886,2,5,0,9,7,2.98776407019416,0.877399588184795,0.927799589883812,2.59475131786098
"3245","noroBE",5,1,"ar1",273,3.7333319380581,6.1301362107724,2,5,0,10,6,2.52053561590189,0.787766621866399,0.868183144710339,2.59475131786098
"3246","noroBE",6,1,"ar1",273,5.22282472705699,9.91366086315972,3,7,1,13,4,1.985900258437,0.328714933708184,0.465971925422603,2.59475131786098
"3247","noroBE",7,1,"ar1",273,7.14335539397159,15.9182897050681,4,9,1,16,4,2.30777918844906,0.178742286353608,0.278224223407024,2.59475131786098
"3248","noroBE",8,1,"ar1",273,6.07884174538967,12.4333366156021,3,8,1,14,10,3.05928041286961,0.841742304659641,0.888663751803952,2.59475131786098
"3249","noroBE",9,1,"ar1",273,3.93868563725278,6.60641640497901,2,5,0,10,7,2.83400866933265,0.847224696787338,0.906001460958567,2.59475131786098
"3250","noroBE",10,1,"ar1",273,11.4316328834129,33.9043661455864,7,15,3,25,10,2.62036621266715,0.419001896965806,0.491778103343932,2.59475131786098
"3251","noroBE",11,1,"ar1",273,6.22861427591137,12.9000949545327,4,8,1,15,5,2.12227698447847,0.356383154715693,0.476141783997559,2.59475131786098
"3252","noroBE",12,1,"ar1",273,9.05224123359228,23.1435586207153,6,12,2,20,14,3.27972253487781,0.832464311701969,0.870103010486593,2.59475131786098
"3253","noroBE",1,2,"ar1",273,4.05749709745666,7.4274760556028,2,6,0,11,5,2.15581257590367,0.628227375833232,0.744036424560154,2.36925553224311
"3254","noroBE",2,2,"ar1",273,2.6130574444702,3.93515390525567,1,4,0,7,1,1.56078850443269,0.119929440358857,0.329899883643767,2.36925553224311
"3255","noroBE",3,2,"ar1",273,3.896173046179,6.96891819392977,2,5,0,10,2,1.81735656854983,0.178374089637219,0.340828711132085,2.36925553224311
"3256","noroBE",4,2,"ar1",273,3.38879575819329,5.8689893472344,2,5,0,9,6,2.69970731845582,0.825708215335231,0.892933400767004,2.36925553224311
"3257","noroBE",5,2,"ar1",273,3.77054062985643,6.65804783438859,2,5,0,10,1,2.04249592118667,0.0591181228793692,0.188822697021583,2.36925553224311
"3258","noroBE",6,2,"ar1",273,4.36732700849166,8.90090265226212,2,6,0,12,2,1.93391370684014,0.151709084842686,0.296290326005121,2.36925553224311
"3259","noroBE",7,2,"ar1",273,7.27246415239816,20.1112047730598,4,10,1,18,2,2.75542513761255,0.0486714000783278,0.112253382907937,2.36925553224311
"3260","noroBE",8,2,"ar1",273,5.42916918772454,13.1107400598067,3,7,0,14,4,2.05639377519197,0.339371469258152,0.467285896578569,2.36925553224311
"3261","noroBE",9,2,"ar1",273,3.78560718368708,7.3171168131849,2,5,0,10,10,4.25185398015908,0.962669581713969,0.976907394515988,2.36925553224311
"3262","noroBE",10,2,"ar1",273,10.0530892016989,38.8931665277157,6,13,2,25,5,2.62324701640329,0.172342300749395,0.244909154856472,2.36925553224311
"3263","noroBE",11,2,"ar1",273,6.07116279013756,14.224799504991,3,8,1,15,2,2.43861232885366,0.0724897260384181,0.159771612057723,2.36925553224311
"3264","noroBE",12,2,"ar1",273,6.1291139777716,16.4515016252975,3,8,1,16,4,2.14404927436314,0.284799318942844,0.4019787084955,2.36925553224311
"3265","noroBE",1,3,"ar1",273,3.55603047397789,6.24697297584446,2,5,0,10,2,1.72536607191156,0.2116353270399,0.389743166600056,2.26280686516962
"3266","noroBE",2,3,"ar1",273,2.36560908386747,3.49530879012482,1,3,0,7,4,2.23872196049138,0.766044181226372,0.872638830761163,2.26280686516962
"3267","noroBE",3,3,"ar1",273,3.54467967881673,6.23453192264328,2,5,0,10,7,3.05561060488508,0.879369903168856,0.926463859358474,2.26280686516962
"3268","noroBE",4,3,"ar1",273,2.99112461503912,5.06563767103328,1,4,0,8,6,2.91829390148035,0.871011063022214,0.925036845045629,2.26280686516962
"3269","noroBE",5,3,"ar1",273,3.49927568573039,6.16476617516354,2,5,0,9,1,1.91484943577815,0.0714225261553282,0.218786544820032,2.26280686516962
"3270","noroBE",6,3,"ar1",273,3.87652675664385,7.83080733882741,2,5,0,11,2,1.80082936143993,0.195166092541564,0.36032794507311,2.26280686516962
"3271","noroBE",7,3,"ar1",273,6.89861733609397,19.7200632065792,4,9,1,18,2,2.61174826302999,0.0594748411153011,0.13288093946497,2.26280686516962
"3272","noroBE",8,3,"ar1",273,4.87403340304623,11.9476953121606,2,7,0,13,5,2.17605566249401,0.537607865353551,0.651096150438987,2.26280686516962
"3273","noroBE",9,3,"ar1",273,3.44794417549678,6.81822047879273,2,5,0,10,2,1.70315327412046,0.240892752688915,0.423001132782862,2.26280686516962
"3274","noroBE",10,3,"ar1",273,8.65120607813616,34.0471896818389,5,11,1,23,6,2.44810618824424,0.337455306728113,0.42391247188074,2.26280686516962
"3275","noroBE",11,3,"ar1",273,5.52956838680167,13.0919130311061,3,7,0,14,7,2.49340007114977,0.672285239145059,0.754913784631827,2.26280686516962
"3276","noroBE",12,3,"ar1",273,4.74171558367641,11.1192616384586,2,6,0,13,4,2.01431974983832,0.417136889808444,0.550548015253694,2.26280686516962
"3277","noroBE",1,4,"ar1",273,3.13041930618912,5.21125700372452,1,4,0,9,5,2.38410223703826,0.764533941289439,0.85670563206574,2.49337512299392
"3278","noroBE",2,4,"ar1",273,2.08143162319895,2.97994476357127,1,3,0,6,2,1.48386128368333,0.435001691048948,0.66176210054221,2.49337512299392
"3279","noroBE",3,4,"ar1",273,3.16789954987625,5.40128291060261,1,4,0,9,6,2.81364635793527,0.851418130356248,0.911403993551406,2.49337512299392
"3280","noroBE",4,4,"ar1",273,2.65521187379229,4.30090608331572,1,4,0,8,0,2.09458118600551,0,0.1231217979894,2.49337512299392
"3281","noroBE",5,4,"ar1",273,3.08236813151874,5.18842182754978,1,4,0,9,0,2.37696192409266,0,0.0928321807394828,2.49337512299392
"3282","noroBE",6,4,"ar1",273,3.31990533177499,6.34332195229187,1,5,0,9,1,1.80223845089607,0.0879694043916605,0.252898692988422,2.49337512299392
"3283","noroBE",7,4,"ar1",273,6.22114283799816,17.3417242366201,3,8,1,16,2,2.40437121496111,0.0792439622771498,0.169566233328005,2.49337512299392
"3284","noroBE",8,4,"ar1",273,4.29479987736945,10.0014365528498,2,6,0,12,0,2.87865380996224,0,0.0562103817799492,2.49337512299392
"3285","noroBE",9,4,"ar1",273,3.05135126810869,5.88195674358237,1,4,0,9,3,1.8059905924036,0.488136094275233,0.652447704375674,2.49337512299392
